id,name_JP,unknown_JP,unit_JP,naming,name,unit,unknown,category,***,sort,_tileType,_idRenderData,tiles,altTiles,anime,skins,size,colorMod,colorType,recipeKey,factory,components,disassemble,defMat,tierGroup,value,LV,chance,quality,HP,weight,electricity,trait,elements,range,attackType,offense,substats,defense,lightData,idExtra,idToggleExtra,idActorEx,idSound,tag,workTag,filter,roomName_JP,roomName,detail_JP,detail
YarCraft_amulet_necklace__q2,ネックレス 奇跡,,個,m,項鍊 奇蹟,條,,amulet,,100,,obj_S flat,1221,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/3,plat/5",,gold,metal,100,33,0,2,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,どこにでもある首飾りだ。,這是很常見的首飾。
YarCraft_amulet_necklace__q3,ネックレス 神器,,個,m,項鍊 神器,條,,amulet,,100,,obj_S flat,1221,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/3,plat/10",,gold,metal,100,53,0,3,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,どこにでもある首飾りだ。,這是很常見的首飾。
YarCraft_amulet_jewel,細工首輪,,個,m,精工項鍊,個,,amulet,,100,,obj_S flat,1318,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/37",,gold,metal,1800,5,0,0,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,磨き上げられた首輪だ。,這是拋光的項鍊。
YarCraft_amulet_jewel__q1,細工首輪 高品質,,個,m,精工項鍊 優質品,個,,amulet,,100,,obj_S flat,1318,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/37,plat",,gold,metal,1800,15,0,1,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,磨き上げられた首輪だ。,這是拋光的項鍊。
YarCraft_amulet_jewel__q2,細工首輪 奇跡,,個,m,精工項鍊 奇蹟,個,,amulet,,100,,obj_S flat,1318,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/37,plat/5",,gold,metal,1800,35,0,2,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,磨き上げられた首輪だ。,這是拋光的項鍊。
YarCraft_amulet_jewel__q3,細工首輪 神器,,個,m,精工項鍊 神器,個,,amulet,,100,,obj_S flat,1318,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/37,plat/10",,gold,metal,1800,55,0,3,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,supply,,,磨き上げられた首輪だ。,這是拋光的項鍊。
YarCraft_amulet_charm,お守り,,個,m,護身符,個,,amulet,,100,,obj_S flat,1317,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/11",,gold,metal,500,9,0,0,100,50,0,,,1,,"0,0,0,3",,,,,,,,"noDrop,noShop",,supply,,,想いのこめられた首輪だ。,這是彙聚思念的項鍊。
YarCraft_amulet_charm__q1,お守り 高品質,,個,m,護身符 優質品,個,,amulet,,100,,obj_S flat,1317,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/11,plat",,gold,metal,500,19,0,1,100,50,0,,,1,,"0,0,0,3",,,,,,,,"noDrop,noShop",,supply,,,想いのこめられた首輪だ。,這是彙聚思念的項鍊。
YarCraft_amulet_charm__q2,お守り 奇跡,,個,m,護身符 奇蹟,個,,amulet,,100,,obj_S flat,1317,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/11,plat/5",,gold,metal,500,39,0,2,100,50,0,,,1,,"0,0,0,3",,,,,,,,"noDrop,noShop",,supply,,,想いのこめられた首輪だ。,這是彙聚思念的項鍊。
YarCraft_amulet_charm__q3,お守り 神器,,個,m,護身符 神器,個,,amulet,,100,,obj_S flat,1317,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/11,plat/10",,gold,metal,500,59,0,3,100,50,0,,,1,,"0,0,0,3",,,,,,,,"noDrop,noShop",,supply,,,想いのこめられた首輪だ。,這是彙聚思念的項鍊。
YarCraft_amulet_armored,首当て,,個,m,護頸,個,,amulet,,100,,obj_S flat,1316,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/25",,gold,metal,1200,12,0,0,100,50,0,,,1,,,,"0,3",,,,,,"noDrop,noShop",,supply,,,身を守る為の首輪だ。,這是用來保護自己的項圈。
YarCraft_amulet_armored__q1,首当て 高品質,,個,m,護頸 優質品,個,,amulet,,100,,obj_S flat,1316,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/25,plat",,gold,metal,1200,22,0,1,100,50,0,,,1,,,,"0,3",,,,,,"noDrop,noShop",,supply,,,身を守る為の首輪だ。,這是用來保護自己的項圈。
YarCraft_amulet_armored__q2,首当て 奇跡,,個,m,護頸 奇蹟,個,,amulet,,100,,obj_S flat,1316,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/25,plat/5",,gold,metal,1200,42,0,2,100,50,0,,,1,,,,"0,3",,,,,,"noDrop,noShop",,supply,,,身を守る為の首輪だ。,這是用來保護自己的項圈。
YarCraft_amulet_armored__q3,首当て 神器,,個,m,護頸 神器,個,,amulet,,100,,obj_S flat,1316,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/25,plat/10",,gold,metal,1200,62,0,3,100,50,0,,,1,,,,"0,3",,,,,,"noDrop,noShop",,supply,,,身を守る為の首輪だ。,這是用來保護自己的項圈。
YarCraft_amulet_talisman,護符,,個,m,護符,個,,amulet,,100,,obj_S flat,1315,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/37",,gold,metal,1800,28,0,0,100,50,0,,,1,,,,"4,0",,,,,,"noDrop,noShop",,supply,,,魔力のこめられた首輪だ。,這是彙聚魔力的項鍊。
YarCraft_amulet_talisman__q1,護符 高品質,,個,m,護符 優質品,個,,amulet,,100,,obj_S flat,1315,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/37,plat",,gold,metal,1800,38,0,1,100,50,0,,,1,,,,"4,0",,,,,,"noDrop,noShop",,supply,,,魔力のこめられた首輪だ。,這是彙聚魔力的項鍊。
YarCraft_amulet_talisman__q2,護符 奇跡,,個,m,護符 奇蹟,個,,amulet,,100,,obj_S flat,1315,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/37,plat/5",,gold,metal,1800,58,0,2,100,50,0,,,1,,,,"4,0",,,,,,"noDrop,noShop",,supply,,,魔力のこめられた首輪だ。,這是彙聚魔力的項鍊。
YarCraft_amulet_talisman__q3,護符 神器,,個,m,護符 神器,個,,amulet,,100,,obj_S flat,1315,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/37,plat/10",,gold,metal,1800,78,0,3,100,50,0,,,1,,,,"4,0",,,,,,"noDrop,noShop",,supply,,,魔力のこめられた首輪だ。,這是彙聚魔力的項鍊。
YarCraft_amulet_peridot,ペリドット,,個,m,橄欖石項鍊,個,,amulet,,100,,obj_S flat,1314,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/49",,gold,metal,2400,32,0,0,100,50,0,,,1,,"0,0,4,0",,,,,,,,"noDrop,noShop",,supply,,,宝石のついた首輪だ。,這是帶著寶石的項鍊。
YarCraft_amulet_peridot__q1,ペリドット 高品質,,個,m,橄欖石項鍊 優質品,個,,amulet,,100,,obj_S flat,1314,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/49,plat",,gold,metal,2400,42,0,1,100,50,0,,,1,,"0,0,4,0",,,,,,,,"noDrop,noShop",,supply,,,宝石のついた首輪だ。,這是帶著寶石的項鍊。
YarCraft_amulet_peridot__q2,ペリドット 奇跡,,個,m,橄欖石項鍊 奇蹟,個,,amulet,,100,,obj_S flat,1314,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/49,plat/5",,gold,metal,2400,62,0,2,100,50,0,,,1,,"0,0,4,0",,,,,,,,"noDrop,noShop",,supply,,,宝石のついた首輪だ。,這是帶著寶石的項鍊。
YarCraft_amulet_peridot__q3,ペリドット 神器,,個,m,橄欖石項鍊 神器,個,,amulet,,100,,obj_S flat,1314,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/49,plat/10",,gold,metal,2400,82,0,3,100,50,0,,,1,,"0,0,4,0",,,,,,,,"noDrop,noShop",,supply,,,宝石のついた首輪だ。,這是帶著寶石的項鍊。
YarCraft_ring_engagement,結婚指輪,,個,m,結婚戒指,枚,,ring,,100,,obj_S flat,1217,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/61",,gold,metal,3000,18,0,0,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,,,,あげた人との友好度を上げる。返ってくることはない。,這是能提高對方好感度的戒指。不能要回來。
YarCraft_ring_engagement__q1,結婚指輪 高品質,,個,m,結婚戒指 優質品,枚,,ring,,100,,obj_S flat,1217,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/61,plat",,gold,metal,3000,28,0,1,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,,,,あげた人との友好度を上げる。返ってくることはない。,這是能提高對方好感度的戒指。不能要回來。
YarCraft_ring_engagement__q2,結婚指輪 奇跡,,個,m,結婚戒指 奇蹟,枚,,ring,,100,,obj_S flat,1217,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/61,plat/5",,gold,metal,3000,48,0,2,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,,,,あげた人との友好度を上げる。返ってくることはない。,這是能提高對方好感度的戒指。不能要回來。
YarCraft_ring_engagement__q3,結婚指輪 神器,,個,m,結婚戒指 神器,枚,,ring,,100,,obj_S flat,1217,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/61,plat/10",,gold,metal,3000,68,0,3,100,50,0,,,1,,,,,,,,,,"gift,noDrop,noShop",,,,,あげた人との友好度を上げる。返ってくることはない。,這是能提高對方好感度的戒指。不能要回來。
YarCraft_ring_decorative,装飾の指輪,,個,m,裝飾戒指,枚,,ring,,100,,obj_S flat,1215,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/31",,gold,metal,1500,1,0,0,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,幾つかの装飾がされた指輪だ。,這是有很多裝飾的戒指。
YarCraft_ring_decorative__q1,装飾の指輪 高品質,,個,m,裝飾戒指 優質品,枚,,ring,,100,,obj_S flat,1215,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/31,plat",,gold,metal,1500,11,0,1,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,幾つかの装飾がされた指輪だ。,這是有很多裝飾的戒指。
YarCraft_ring_decorative__q2,装飾の指輪 奇跡,,個,m,裝飾戒指 奇蹟,枚,,ring,,100,,obj_S flat,1215,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/31,plat/5",,gold,metal,1500,31,0,2,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,幾つかの装飾がされた指輪だ。,這是有很多裝飾的戒指。
YarCraft_ring_decorative__q3,装飾の指輪 神器,,個,m,裝飾戒指 神器,枚,,ring,,100,,obj_S flat,1215,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/31,plat/10",,gold,metal,1500,51,0,3,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,幾つかの装飾がされた指輪だ。,這是有很多裝飾的戒指。
YarCraft_ring,指輪,,個,m,戒指,個,,ring,,100,,obj_S flat,1214,,,,,100,,*,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/16",,gold,metal,750,10,0,0,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,指にはめる輪だ。,這是戴在手指上的指環。
YarCraft_ring__q1,指輪 高品質,,個,m,戒指 優質品,個,,ring,,100,,obj_S flat,1214,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/16,plat",,gold,metal,750,20,0,1,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,指にはめる輪だ。,這是戴在手指上的指環。
YarCraft_ring__q2,指輪 奇跡,,個,m,戒指 奇蹟,個,,ring,,100,,obj_S flat,1214,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/16,plat/5",,gold,metal,750,40,0,2,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,指にはめる輪だ。,這是戴在手指上的指環。
YarCraft_ring__q3,指輪 神器,,個,m,戒指 神器,個,,ring,,100,,obj_S flat,1214,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/16,plat/10",,gold,metal,750,60,0,3,100,50,0,,,1,,,,,,,,,,"noDrop,noShop",,,,,指にはめる輪だ。,這是戴在手指上的指環。
YarCraft_ring_speed,スピードの指輪,,個,,加速戒指,枚,,ring,,100,,obj_S flat,1220,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem/2,money/1601,money2/17",,gold,metal,80000,25,0,0,100,50,0,,SPD/20,1,,,,,,,,,,"noDrop,noShop",,,,,速度が上昇する指輪だ。,這是讓速度提升的戒指。
YarCraft_ring_speed__q1,スピードの指輪 高品質,,個,,加速戒指 優質品,枚,,ring,,100,,obj_S flat,1220,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem/2,money/1601,money2/17,plat",,gold,metal,80000,35,0,1,100,50,0,,SPD/20,1,,,,,,,,,,"noDrop,noShop",,,,,速度が上昇する指輪だ。,這是讓速度提升的戒指。
YarCraft_ring_speed__q2,スピードの指輪 奇跡,,個,,加速戒指 奇蹟,枚,,ring,,100,,obj_S flat,1220,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem/2,money/1601,money2/17,plat/5",,gold,metal,80000,55,0,2,100,50,0,,SPD/20,1,,,,,,,,,,"noDrop,noShop",,,,,速度が上昇する指輪だ。,這是讓速度提升的戒指。
YarCraft_ring_speed__q3,スピードの指輪 神器,,個,,加速戒指 神器,枚,,ring,,100,,obj_S flat,1220,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem/2,money/1601,money2/17,plat/10",,gold,metal,80000,75,0,3,100,50,0,,SPD/20,1,,,,,,,,,,"noDrop,noShop",,,,,速度が上昇する指輪だ。,這是讓速度提升的戒指。
YarCraft_ring_aurora,オーロラリング,,個,,極光戒指,枚,,ring,,100,,obj_S flat,1219,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem/2,money/601,money2/7",,gold,metal,30000,20,0,0,100,50,0,,resWeather/10,1,,,,"2,2",,,,,,"noDrop,noShop",,,,,悪天候でも歩みが遅れなくなる指輪だ。,這是防止天氣惡劣時減速的戒指。
YarCraft_ring_aurora__q1,オーロラリング 高品質,,個,,極光戒指 優質品,枚,,ring,,100,,obj_S flat,1219,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem/2,money/601,money2/7,plat",,gold,metal,30000,30,0,1,100,50,0,,resWeather/10,1,,,,"2,2",,,,,,"noDrop,noShop",,,,,悪天候でも歩みが遅れなくなる指輪だ。,這是防止天氣惡劣時減速的戒指。
YarCraft_ring_aurora__q2,オーロラリング 奇跡,,個,,極光戒指 奇蹟,枚,,ring,,100,,obj_S flat,1219,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem/2,money/601,money2/7,plat/5",,gold,metal,30000,50,0,2,100,50,0,,resWeather/10,1,,,,"2,2",,,,,,"noDrop,noShop",,,,,悪天候でも歩みが遅れなくなる指輪だ。,這是防止天氣惡劣時減速的戒指。
YarCraft_ring_aurora__q3,オーロラリング 神器,,個,,極光戒指 神器,枚,,ring,,100,,obj_S flat,1219,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem/2,money/601,money2/7,plat/10",,gold,metal,30000,70,0,3,100,50,0,,resWeather/10,1,,,,"2,2",,,,,,"noDrop,noShop",,,,,悪天候でも歩みが遅れなくなる指輪だ。,這是防止天氣惡劣時減速的戒指。
YarCraft_ring_armored,指当て,,個,m,防護戒指,枚,,ring,,100,,obj_S flat,1218,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/17",,gold,metal,820,16,0,0,100,50,0,,,1,,,,"0,2",,,,,,"noDrop,noShop",,,,,指にはめる加工品だ。,這是戴在手指上的加工品。
YarCraft_ring_armored__q1,指当て 高品質,,個,m,防護戒指 優質品,枚,,ring,,100,,obj_S flat,1218,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/17,plat",,gold,metal,820,26,0,1,100,50,0,,,1,,,,"0,2",,,,,,"noDrop,noShop",,,,,指にはめる加工品だ。,這是戴在手指上的加工品。
YarCraft_ring_armored__q2,指当て 奇跡,,個,m,防護戒指 奇蹟,枚,,ring,,100,,obj_S flat,1218,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/17,plat/5",,gold,metal,820,46,0,2,100,50,0,,,1,,,,"0,2",,,,,,"noDrop,noShop",,,,,指にはめる加工品だ。,這是戴在手指上的加工品。
YarCraft_ring_armored__q3,指当て 神器,,個,m,防護戒指 神器,枚,,ring,,100,,obj_S flat,1218,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/17,plat/10",,gold,metal,820,66,0,3,100,50,0,,,1,,,,"0,2",,,,,,"noDrop,noShop",,,,,指にはめる加工品だ。,這是戴在手指上的加工品。
YarCraft_ring_composite,合金指輪,,個,m,合金戒指,枚,,ring,,100,,obj_S flat,1216,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/39",,gold,metal,1900,20,0,0,100,50,0,,,1,,"0,0,0,2",,,,,,,,"noDrop,noShop",,,,,固い指輪だ。,這是堅固的戒指。
YarCraft_ring_composite__q1,合金指輪 高品質,,個,m,合金戒指 優質品,枚,,ring,,100,,obj_S flat,1216,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/39,plat",,gold,metal,1900,30,0,1,100,50,0,,,1,,"0,0,0,2",,,,,,,,"noDrop,noShop",,,,,固い指輪だ。,這是堅固的戒指。
YarCraft_ring_composite__q2,合金指輪 奇跡,,個,m,合金戒指 奇蹟,枚,,ring,,100,,obj_S flat,1216,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/39,plat/5",,gold,metal,1900,50,0,2,100,50,0,,,1,,"0,0,0,2",,,,,,,,"noDrop,noShop",,,,,固い指輪だ。,這是堅固的戒指。
YarCraft_ring_composite__q3,合金指輪 神器,,個,m,合金戒指 神器,枚,,ring,,100,,obj_S flat,1216,,,,,100,,,factory_accessory,"plank/2|cutstone|ingot|texture|bone|glass,gem,money/39,plat/10",,gold,metal,1900,70,0,3,100,50,0,,,1,,"0,0,0,2",,,,,,,,"noDrop,noShop",,,,,固い指輪だ。,這是堅固的戒指。
